City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
126,Sandwick,GB,2022-08-16 23:24:05,60.0,-1.25,49.82,71,100,12.66
127,Hofn,IS,2022-08-16 23:24:05,64.2539,-15.2082,49.06,69,0,5.03
128,Flinders,AU,2022-08-16 23:24:06,-34.5833,150.8552,60.06,63,3,5.99
129,Sao Joao Da Barra,BR,2022-08-16 23:20:12,-21.6403,-41.0511,72.72,80,0,26.37
130,Vinh,VN,2022-08-16 23:21:19,18.6667,105.6667,77.81,88,93,3.33
131,Mountain Home,US,2022-08-16 23:19:45,43.133,-115.6912,98.08,9,0,3.44
132,Biltine,TD,2022-08-16 23:24:07,14.5333,20.9167,74.71,83,74,7.31
133,Yining,CN,2022-08-16 23:24:07,29.0361,114.5636,78.82,90,94,1.07
134,Gat,IL,2022-08-16 23:25:08,31.61,34.7642,79.48,100,0,6.8
135,Xichang,CN,2022-08-16 23:21:12,27.8964,102.2634,66.11,91,100,0.85
136,Upernavik,GL,2022-08-16 23:25:08,72.7868,-56.1549,41.81,95,100,5.68
137,Bharatpur,IN,2022-08-16 23:25:09,27.2167,77.4833,77.59,86,67,11.12
138,Grindavik,IS,2022-08-16 23:25:09,63.8424,-22.4338,51.75,100,100,20.71
139,Saskylakh,RU,2022-08-16 23:25:09,71.9167,114.0833,46.04,91,93,8.77
140,Alyangula,AU,2022-08-16 23:25:10,-13.8483,136.4192,69.67,78,82,0.0
141,Kavaratti,IN,2022-08-16 23:25:10,10.5669,72.642,80.78,79,89,6.78
142,Sangueya,GN,2022-08-16 23:25:10,10.7,-14.3667,74.75,96,100,3.2
143,Newton Abbot,GB,2022-08-16 23:25:11,50.5286,-3.6119,63.46,94,35,1.01
144,Pacific Grove,US,2022-08-16 23:25:11,36.6177,-121.9166,83.34,74,0,5.75
145,Mount Gambier,AU,2022-08-16 23:25:12,-37.8333,140.7667,50.16,78,100,10.11
146,Kapoeta,SS,2022-08-16 23:25:12,4.7717,33.5903,71.82,82,100,6.06
147,Conceicao Do Araguaia,BR,2022-08-16 23:25:13,-8.2578,-49.2647,81.43,29,1,3.02
148,Abu Dhabi,AE,2022-08-16 23:25:13,24.4667,54.3667,91.42,74,0,3.44
149,Utete,TZ,2022-08-16 23:25:13,-7.986,38.758,66.02,96,11,3.09
150,Aklavik,CA,2022-08-16 23:25:14,68.2191,-135.0107,55.4,82,75,5.75
151,Fasa,IR,2022-08-16 23:25:14,28.9383,53.6482,76.24,20,0,0.0
152,Bayan,CN,2022-08-16 23:25:15,46.0833,127.4,68.58,73,0,3.11
153,Geraldton,AU,2022-08-16 23:25:15,-28.7667,114.6,55.81,82,75,10.36
154,Miles City,US,2022-08-16 23:25:15,46.4083,-105.8406,94.17,21,0,6.91
155,Srednekolymsk,RU,2022-08-16 23:25:16,67.45,153.6833,61.92,54,100,7.02
156,Wilmington,US,2022-08-16 23:24:37,34.2257,-77.9447,78.71,76,40,8.05
157,Bridgetown,BB,2022-08-16 23:25:16,13.1,-59.6167,82.89,78,20,13.8
158,Gewane,ET,2022-08-16 23:25:17,10.1664,40.6453,78.66,65,85,5.64
159,Kahului,US,2022-08-16 23:25:17,20.8947,-156.47,91.42,43,40,11.5
160,Alice Springs,AU,2022-08-16 23:25:18,-23.7,133.8833,51.35,35,1,0.0
161,Ostrovnoy,RU,2022-08-16 23:25:18,68.0531,39.5131,59.94,86,74,13.94
162,Ahipara,NZ,2022-08-16 23:25:18,-35.1667,173.1667,62.73,90,100,18.28
163,Mandera,KE,2022-08-16 23:25:19,3.9366,41.867,77.43,62,30,20.89
164,Satipo,PE,2022-08-16 23:25:19,-11.2522,-74.6386,77.11,68,99,2.46
165,Soyo,AO,2022-08-16 23:25:20,-6.1349,12.3689,69.76,90,23,4.61
166,East London,ZA,2022-08-16 23:25:20,-33.0153,27.9116,62.2,35,81,4.25
167,Portland,US,2022-08-16 23:24:33,45.5234,-122.6762,93.58,35,20,12.66
168,Garowe,SO,2022-08-16 23:25:21,8.4054,48.4845,76.21,62,88,22.12
169,Mar Del Plata,AR,2022-08-16 23:20:32,-38.0023,-57.5575,52.09,77,0,3.44
170,Klaksvik,FO,2022-08-16 23:25:21,62.2266,-6.589,41.92,72,8,7.47
171,Riyadh,SA,2022-08-16 23:23:11,24.6877,46.7219,89.74,14,26,11.9
172,Katangli,RU,2022-08-16 23:25:22,51.7102,143.2326,64.71,80,34,5.53
173,Polyarnyy,RU,2022-08-16 23:25:22,69.1989,33.4478,60.39,84,44,13.22
174,San Andres,CO,2022-08-16 23:21:26,12.5847,-81.7006,84.22,79,40,4.61
175,Gizo,SB,2022-08-16 23:25:23,-8.103,156.8419,81.3,76,69,5.7
176,Christchurch,NZ,2022-08-16 23:25:23,-43.5333,172.6333,58.32,80,100,11.5
177,Egvekinot,RU,2022-08-16 23:25:24,66.3167,-179.1667,40.53,54,45,2.64
178,Severo-Kurilsk,RU,2022-08-16 23:25:24,50.6789,156.125,53.28,99,100,8.7
179,Xining,CN,2022-08-16 23:21:14,36.6167,101.7667,61.74,86,72,2.3
180,Salalah,OM,2022-08-16 23:25:25,17.0151,54.0924,75.29,100,100,5.75
181,Murgab,TM,2022-08-16 23:26:25,37.4966,61.9714,76.87,36,0,11.5
182,Esna,EG,2022-08-16 23:26:25,25.2934,32.554,86.02,23,1,10.89
183,Carnarvon,AU,2022-08-16 23:26:26,-24.8667,113.6333,64.72,60,69,14.36
184,Bagdarin,RU,2022-08-16 23:26:26,54.4333,113.6,50.79,62,20,1.5
185,Puerto Baquerizo Moreno,EC,2022-08-16 23:26:27,-0.9,-89.6,70.2,81,93,10.67
186,Dorado,PR,2022-08-16 23:26:27,18.4588,-66.2677,83.71,82,75,0.0
187,Presidencia Roque Saenz Pena,AR,2022-08-16 23:26:27,-26.7852,-60.4388,65.07,39,0,6.4
188,Fort Nelson,CA,2022-08-16 23:26:28,58.8053,-122.7002,80.19,36,20,3.44
189,Lorengau,PG,2022-08-16 23:26:28,-2.0226,147.2712,83.89,72,85,9.93
190,Aripuana,BR,2022-08-16 23:26:29,-9.1667,-60.6333,80.47,56,49,1.95
191,Esqueda,MX,2022-08-16 23:26:29,30.7167,-109.5833,72.18,74,37,7.99
192,Fortuna Foothills,US,2022-08-16 23:26:29,32.6578,-114.4119,107.22,31,75,11.5
193,Port Lincoln,AU,2022-08-16 23:26:30,-34.7333,135.8667,58.08,53,100,19.08
194,Airai,TL,2022-08-16 23:26:30,-8.9266,125.4092,59.58,71,97,2.68
195,Suchitlan,MX,2022-08-16 23:26:30,19.3667,-103.7167,70.59,94,100,0.0
196,Jizan,SA,2022-08-16 23:26:31,17.3333,42.6667,86.94,57,92,3.04
197,Frisco,US,2022-08-16 23:24:46,33.1507,-96.8236,102.04,34,100,5.01
198,Salinopolis,BR,2022-08-16 23:26:31,-0.6136,-47.3561,78.85,82,14,11.95
199,Baykit,RU,2022-08-16 23:26:32,61.67,96.37,51.33,89,81,2.73
200,Pontian Kecil,MY,2022-08-16 23:26:32,1.4801,103.3899,77.32,79,94,5.79
201,San Patricio,US,2022-08-16 23:26:33,28.017,-97.5169,91.27,57,56,13.13
202,Gazanjyk,TM,2022-08-16 23:26:33,39.2446,55.5154,84.25,15,0,11.97
203,Selikhino,RU,2022-08-16 23:26:33,50.3672,137.4996,67.24,88,12,8.99
204,Saint-Philippe,RE,2022-08-16 23:26:34,-21.3585,55.7679,67.21,68,0,3.74
205,Baghdad,IQ,2022-08-16 23:26:34,33.3406,44.4009,87.71,19,0,12.66
206,Ust-Maya,RU,2022-08-16 23:26:35,60.4167,134.5333,63.41,61,84,4.74
207,Chokurdakh,RU,2022-08-16 23:26:35,70.6333,147.9167,50.86,55,100,12.21
208,Saint-Pierre,RE,2022-08-16 23:26:35,-21.3393,55.4781,67.28,61,0,4.61
209,Castro,BR,2022-08-16 23:26:36,-24.7911,-50.0119,55.26,92,100,4.34
210,Husavik,IS,2022-08-16 23:26:36,66.0449,-17.3389,45.21,75,5,3.42
211,Milkovo,RU,2022-08-16 23:26:36,54.7167,158.6167,61.18,69,100,6.11
212,Saryozek,KZ,2022-08-16 23:26:37,44.3583,77.9753,52.3,36,0,4.76
213,Bambous Virieux,MU,2022-08-16 23:26:37,-20.3428,57.7575,68.22,94,40,4.61
214,Azad Shahr,IR,2022-08-16 23:26:38,34.7909,48.5707,66.69,18,0,6.91
215,Calabozo,VE,2022-08-16 23:26:38,8.9242,-67.4293,78.96,78,78,4.32
216,Kieta,PG,2022-08-16 23:26:38,-6.2167,155.6333,82.99,71,9,2.98
217,Tiarei,PF,2022-08-16 23:26:39,-17.5333,-149.3333,73.42,87,100,7.05
218,Taoudenni,ML,2022-08-16 23:26:39,22.6783,-3.9836,97.74,25,67,6.26
219,Bubaque,GW,2022-08-16 23:26:40,11.2833,-15.8333,77.31,90,98,13.67
220,Namibe,AO,2022-08-16 23:26:40,-15.1961,12.1522,60.35,88,62,4.56
221,Kruisfontein,ZA,2022-08-16 23:26:40,-34.0033,24.7314,50.45,64,100,5.75
222,Midland,US,2022-08-16 23:26:41,31.9974,-102.0779,87.8,63,40,10.36
223,Bandarbeyla,SO,2022-08-16 23:25:20,9.4942,50.8122,77.27,76,83,25.61
224,Port Hardy,CA,2022-08-16 23:26:41,50.6996,-127.4199,73.58,64,75,3.44
225,Dunedin,NZ,2022-08-16 23:26:42,-45.8742,170.5036,54.81,81,100,5.99
226,Axim,GH,2022-08-16 23:26:42,4.8699,-2.2405,75.31,70,90,7.34
227,Edd,ER,2022-08-16 23:26:42,13.9297,41.6925,90.54,69,99,1.7
228,Marfino,RU,2022-08-16 23:26:43,55.7028,37.3822,70.05,56,0,6.71
229,Esperance,AU,2022-08-16 23:26:43,-33.8667,121.9,53.35,84,23,21.3
230,Thompson,CA,2022-08-16 23:26:43,55.7435,-97.8558,77.16,65,75,5.75
231,Paamiut,GL,2022-08-16 23:27:44,61.994,-49.6678,42.53,90,100,11.5
232,Yar-Sale,RU,2022-08-16 23:27:44,66.8333,70.8333,44.42,81,100,18.84
233,Lerdo,MX,2022-08-16 23:27:45,25.5333,-103.5333,91.27,31,75,6.91
234,Surt,LY,2022-08-16 23:27:45,31.2089,16.5887,84.29,46,0,10.2
235,Lazaro Cardenas,MX,2022-08-16 23:26:53,17.9583,-102.2,85.73,66,96,6.82
236,Coihaique,CL,2022-08-16 23:27:02,-45.5752,-72.0662,34.41,94,34,6.15
237,Rawson,AR,2022-08-16 23:27:46,-43.3002,-65.1023,46.76,42,26,11.97
238,Naze,JP,2022-08-16 23:27:46,28.3667,129.4833,85.12,78,77,9.71
239,Cabedelo,BR,2022-08-16 23:27:47,-6.9811,-34.8339,75.87,74,14,15.14
240,Cesme,TR,2022-08-16 23:27:46,38.3228,26.3064,75.18,66,0,8.19
241,Bengkulu,ID,2022-08-16 23:27:47,-3.8004,102.2655,75.33,85,88,3.98
242,Antofagasta,CL,2022-08-16 23:24:23,-23.65,-70.4,56.48,85,41,7.23
243,Kayerkan,RU,2022-08-16 23:27:48,69.3497,87.7602,50.52,100,64,1.99
244,Rawlins,US,2022-08-16 23:27:48,41.7911,-107.2387,82.29,20,20,18.41
245,Henties Bay,NA,2022-08-16 23:27:49,-22.116,14.2845,54.25,86,0,4.05
246,Lobito,AO,2022-08-16 23:27:49,-12.3481,13.5456,67.96,89,82,7.72
247,Port Elizabeth,ZA,2022-08-16 23:27:49,-33.918,25.5701,56.32,80,0,4.61
248,Loa Janan,ID,2022-08-16 23:27:50,-0.583,117.095,71.94,98,100,3.13
249,Djougou,BJ,2022-08-16 23:27:50,9.7085,1.666,68.9,97,79,4.29
250,Port-Gentil,GA,2022-08-16 23:27:51,-0.7193,8.7815,73.36,88,20,4.61
